UID,title,authors,abstract,keywords,session,pdf_local,ieee_link
posters_hynes_pdf,Discovering the Data Mapping of an Unfamiliar Visualization,Lisa Hynes| Tina Huynh| Sarah Storteboom| Jagoda Walny| Christian Frisson| Doris Kosminsky| Mieka West| Sheelagh Carpendale| Wesley Willett,lorem ipsum,posters,posters,posters/hynes.pdf,
posters_jackson_pdf,Creating Small Unit-Based Glyph Visualisations,James R. Jackson| Panagiotis D. Ritsos| Jonathan C. Roberts,lorem ipsum,posters,posters,posters/jackson.pdf,
posters_kamakshidasan_pdf,Spatial Comparison of Cricketers,Adhitya Kamakshidasan,lorem ipsum,posters,posters,posters/kamakshidasan.pdf,
posters_kang_pdf,CLIPPR: Maximally Informative CLIPped PRojections with Bounding Regions,Bo Kang| Dylan Cashman| Remco Chang| Jefrey Lijffijt| Tijl De Bie,lorem ipsum,posters,posters,posters/kang.pdf,
posters_karawash_pdf,TasteGraph: A Visual Analytics Tool for Profiling Media Audiences’ Tastes,Ahmad Karawash| Sara Diamond| Marcus A. Gordon| Jad Al Rabbaa| Roxolyana Shepko-Hamilton| Greice C. Mariano| Lan-Xi Dong| Afrooz Samaei| Hugh Ritchie,lorem ipsum,posters,posters,posters/karawash.pdf,
posters_kaya_pdf,ViaVelox—A System to Visually Analyze GPS-Tracked Bike Rides,Deniz Kaya| Büsra Keles| Dimitry Nagorny| Pascal Perle| Philip Pregler| Lisa Rudolf| Martin Schröder| Ugur Tunali| Till Nagel,lorem ipsum,posters,posters,posters/kaya.pdf,
posters_keck1_pdf,Visualizing Learning Experiences Using Conversation Flows,Mandy Keck| Alexander Maasch| Romy Bürger| Rainer Groh,lorem ipsum,posters,posters,posters/keck1.pdf,
posters_keck2_pdf,Visual Version Comparison of Multidimensional Data Sets Using Glyphs,Mandy Keck| Dietrich Kammer| Rainer Groh,lorem ipsum,posters,posters,posters/keck2.pdf,
posters_kiesel_pdf,Improving Barycentric Embeddings of Topic Spaces,Dora Kiesel| Patrick Riehmann| Fan Fan| Yamen Ajjour| Henning Wachsmuth| Benno Stein| Bernd Froehlich,lorem ipsum,posters,posters,posters/kiesel.pdf,
posters_kim_pdf,Fostering Data Humanism with DataPortraits: Empowering People to Create a Personalized Visual Vocabulary,Nam Wook Kim| Hyejin Im| Nathalie Henry Riche| Krzysztof Gajos| Hanspeter Pfister,lorem ipsum,posters,posters,posters/kim.pdf,
posters_kluge_pdf,Virtual Lenses for Immersive Analytics,Sven Kluge| Stefan Gladisch| Uwe Freiherr von Lukas| Christian Tominski,lorem ipsum,posters,posters,posters/kluge.pdf,
posters_knittel_pdf,Highlighting Text Regions of Interest with Character-Based LSTM Recurrent Networks,Johannes Knittel| Steffen Koch| Thomas Ertl,lorem ipsum,posters,posters,posters/knittel.pdf,
posters_koch_pdf,MEXPRESS: 2018 Update,Alexander Koch| Tim De Meyer| Jana Jeschke| Wim Van| Manon van,lorem ipsum,posters,posters,posters/koch.pdf,
posters_koseoglu_pdf,ST Sequence Miner: Visual Event Sequence Pattern Mining with Spatio-temporal Log Data,Baran Koseoglu| Erdem Kaya| Selim Balcisoy,lorem ipsum,posters,posters,posters/koseoglu.pdf,
posters_langner_pdf,Towards Visual Data Exploration at Wall-Sized Displays by Combining Physical Navigation with Spatially-Aware Devices,Ricardo Langner| Raimund Dachselt,lorem ipsum,posters,posters,posters/langner.pdf,
posters_lee_pdf,A Scale-Space Filtering Approach for the Multi-Resolution Illustrative Visualization of Multivariate Data,Jenny Hyunjung Lee| Klaus Mueller,lorem ipsum,posters,posters,posters/lee.pdf,
posters_liem_pdf,Conveying Uncertainty in Archived War Diaries with GeoBlobs,Johannes Liem| Eirini Goudarouli| Steven Hirschorn| Jo Wood| Charles Perin,lorem ipsum,posters,posters,posters/liem.pdf,
posters_lin1_pdf,Visualizing Attention in Sequence-to-Sequence Summarization Models,Halden Lin| Tongshuang Wu| Kanit Wongsuphasawat| Yejin Choi| Jeffrey Heer,lorem ipsum,posters,posters,posters/lin1.pdf,
posters_lin2_pdf,Visualizing Dynamic Networks of Long Sequences with Pixel Matrix Array,Lijing Lin| Liwenhan Xie| Zhuo Zhang| Xiaoru Yuan,lorem ipsum,posters,posters,posters/lin2.pdf,
posters_magallanescastaneda_pdf,Visualizing Time in Temporal Event Sequences,Jessica Magallanes-Castaneda| Lindsey van Gemeren| Steven Wood| Maria-Cruz Villa-Uriol,lorem ipsum,posters,posters,posters/magallanescastaneda.pdf,
posters_maji_pdf,Perceptually Optimized Color Selection for Visualization,Subhrajyoti Maji| John Dingliana,lorem ipsum,posters,posters,posters/maji.pdf,
posters_meulemans1_pdf,Assessing Dot-Map Aggregations,Wouter Meulemans| Martijn Tennekes,lorem ipsum,posters,posters,posters/meulemans1.pdf,
posters_meulemans2_pdf,On Minimum-Displacement Overlap Removal,Wouter Meulemans,lorem ipsum,posters,posters,posters/meulemans2.pdf,
posters_miyagi_pdf,Analysis and Graph Visualization of Eye Tracking Data with a Static Stimulus,Yuri Miyagi| Daniel Weiskopf| Takayuki Itoh,lorem ipsum,posters,posters,posters/miyagi.pdf,
posters_mosca_pdf,Towards Data Science for the Masses: A Study of Data Scientists and Their Interactions with Clients,Abigail Mosca| Shannon Robinson| Meredith Clarke| Rebecca Redelmeier| Sebastian Coates| Dylan Cashman| Remco Chang,lorem ipsum,posters,posters,posters/mosca.pdf,
posters_navarra_pdf,Bonus Miracle Tool: Visual Exploration of Nutrients across the Baltic Sea Region,Carlo Navarra| Tina Neset| Juile Wilk| Alena Bartosova| René Capell,lorem ipsum,posters,posters,posters/navarra.pdf,
posters_novotny_pdf,Developing Virtual Reality Visualizations of Dinosaur Track Creation with Scientific Sketching,Johannes Novotny| Joshua Tveite| Morgan L. Turner| Stephen Gatesy| Fritz Drury| Peter Falkingham| David H. Laidlaw,lorem ipsum,posters,posters,posters/novotny.pdf,
posters_pandey_pdf,CerebroVis: Topology- and Constraint-based Network Layout for the Visualization of Cerebrovascular Arteries,Aditeya Pandey| Harsh Shukla| Geoffrey S. Young| Lei Qin| Cody Dunne| Michelle A. Borkin,lorem ipsum,posters,posters,posters/pandey.pdf,
posters_park_pdf,GitHub Viz: An Interactive Visualization to Acquire Knowledge from Authoritative Developers,Chanhee Park| Sungjun Do| Eunjeong Lee| Hanna Jang| Sungchan Jeong| Hyunwoo Han| Kyungwon Lee,lorem ipsum,posters,posters,posters/park.pdf,
posters_parsons_pdf,Toward an Analysis of Practitioner-Oriented Resources for Visualization Design,Paul Parsons| Ya-Hsin Hung| Ali Baigelenov,lorem ipsum,posters,posters,posters/parsons.pdf,
posters_perin_pdf,The Symmetry of My Life II,Charles Perin,lorem ipsum,posters,posters,posters/perin.pdf,
posters_rajabiyazdi_pdf,Personal Patient-Generated Data Visualizations for Diabetes Patients,Fateme Rajabiyazdi| Charles Perin| Lora Oehlberg| Sheelagh Carpendale,lorem ipsum,posters,posters,posters/rajabiyazdi.pdf,
posters_riviere_pdf,The Voronoi Projection,Philippe Rivière,lorem ipsum,posters,posters,posters/riviere.pdf,
posters_rogers_pdf,Composer: Visual Cohort Analysis of Patient Outcomes,Jennifer Rogers| Nicholas Spina| Ashley Neese| Rachel Hess| Darrel Brodke| Alexander Lex,lorem ipsum,posters,posters,posters/rogers.pdf,
