title,link,authors
Fostering Data Humanism with DataPortraits: Empowering People to Create a Personalized Visual Vocabulary,posters/kim.pdf,"Nam Wook Kim, Hyejin Im, Nathalie Henry Riche, Krzysztof Gajos, Hanspeter Pfister"
Virtual Lenses for Immersive Analytics,posters/kluge.pdf,"Sven Kluge, Stefan Gladisch, Uwe Freiherr von Lukas, Christian Tominski"
Highlighting Text Regions of Interest with Character-Based LSTM Recurrent Networks,posters/knittel.pdf,"Johannes Knittel, Steffen Koch, Thomas Ertl"
MEXPRESS: 2018 Update,posters/koch.pdf,"Alexander Koch, Tim De Meyer, Jana Jeschke, Wim Van, Manon van"
ST Sequence Miner: Visual Event Sequence Pattern Mining with Spatio-temporal Log Data,posters/koseoglu.pdf,"Baran Koseoglu, Erdem Kaya, Selim Balcisoy"
Towards Visual Data Exploration at Wall-Sized Displays by Combining Physical Navigation with Spatially-Aware Devices,posters/langner.pdf,"Ricardo Langner, Raimund Dachselt"
A Scale-Space Filtering Approach for the Multi-Resolution Illustrative Visualization of Multivariate Data,posters/lee.pdf,"Jenny Hyunjung Lee, Klaus Mueller"
Conveying Uncertainty in Archived War Diaries with GeoBlobs,posters/liem.pdf,"Johannes Liem, Eirini Goudarouli, Steven Hirschorn, Jo Wood, Charles Perin"
Visualizing Attention in Sequence-to-Sequence Summarization Models,posters/lin1.pdf,"Halden Lin, Tongshuang Wu, Kanit Wongsuphasawat, Yejin Choi, Jeffrey Heer"
Visualizing Dynamic Networks of Long Sequences with Pixel Matrix Array,posters/lin2.pdf,"Lijing Lin, Liwenhan Xie, Zhuo Zhang, Xiaoru Yuan"
Visualizing Time in Temporal Event Sequences,posters/magallanescastaneda.pdf,"Jessica Magallanes-Castaneda, Lindsey van Gemeren, Steven Wood, Maria-Cruz Villa-Uriol"
Perceptually Optimized Color Selection for Visualization,posters/maji.pdf,"Subhrajyoti Maji, John Dingliana"
Assessing Dot-Map Aggregations,posters/meulemans1.pdf,"Wouter Meulemans, Martijn Tennekes"
On Minimum-Displacement Overlap Removal,posters/meulemans2.pdf,Wouter Meulemans
Analysis and Graph Visualization of Eye Tracking Data with a Static Stimulus,posters/miyagi.pdf,"Yuri Miyagi, Daniel Weiskopf, Takayuki Itoh"
Towards Data Science for the Masses: A Study of Data Scientists and Their Interactions with Clients,posters/mosca.pdf,"Abigail Mosca, Shannon Robinson, Meredith Clarke, Rebecca Redelmeier, Sebastian Coates, Dylan Cashman, Remco Chang"
Bonus Miracle Tool: Visual Exploration of Nutrients across the Baltic Sea Region,posters/navarra.pdf,"Carlo Navarra, Tina Neset, Juile Wilk, Alena Bartosova, René Capell"
